"","Treatment","term","contrast","null.value","estimate","std.error","df","statistic","adj.p.value","p.adj.signif","Metric","group1","group2","y.position"
"1","Blank","Time","Time0 - Time12",0,0.167301632601871,0.163745883773108,436.622833059281,1.02171504252095,0.845308196101085,"ns","Shannon","0","12",3.5
"2","Blank","Time","Time0 - Time24",0,0.156162427225533,0.163745883773108,436.622833059281,0.95368765081092,0.87548603709414,"ns","Shannon","0","24",3.5
"3","Blank","Time","Time0 - Time48",0,0.220211597915209,0.163745883773108,436.622833059281,1.34483745692406,0.663259784003833,"ns","Shannon","0","48",3.5
"4","Blank","Time","Time0 - Time96",0,0.40270908285589,0.166328498141599,438.494429653241,2.42116707212168,0.111579282742007,"ns","Shannon","0","96",3.5
"5","Blank","Time","Time12 - Time24",0,-0.0111392053763384,0.16789873050161,419.462098793432,-0.0663447861878361,0.999995598731996,"ns","Shannon","12","24",3.5
"6","Blank","Time","Time12 - Time48",0,0.0529099653133378,0.16789873050161,419.462098793432,0.31513022853279,0.997857257374864,"ns","Shannon","12","48",3.5
"7","Blank","Time","Time12 - Time96",0,0.235407450254018,0.170418421966218,421.611210955047,1.38134978330384,0.639995975926869,"ns","Shannon","12","96",3.5
"8","Blank","Time","Time24 - Time48",0,0.0640491706896762,0.16789873050161,419.462098793432,0.381475014720626,0.995496949854445,"ns","Shannon","24","48",3.5
"9","Blank","Time","Time24 - Time96",0,0.246546655630357,0.170418421966218,421.611210955047,1.44671364037879,0.597751405346042,"ns","Shannon","24","96",3.5
"10","Blank","Time","Time48 - Time96",0,0.182497484940681,0.170418421966218,421.611210955047,1.0708788570807,0.821421866598241,"ns","Shannon","48","96",3.5
"11","Mixture Low","Time","Time0 - Time12",0,-0.219504770028731,0.222339390521128,423.14116896092,-0.98725092982511,0.86102070635976,"ns","Shannon","0","12",3.5
"12","Mixture Low","Time","Time0 - Time24",0,-0.47139552851167,0.216756329027368,419.462098793432,-2.17477169237421,0.191319666806301,"ns","Shannon","0","24",3.5
"13","Mixture Low","Time","Time0 - Time48",0,-0.23335495571213,0.222339390521128,423.14116896092,-1.04954392096328,0.831990748382303,"ns","Shannon","0","48",3.5
"14","Mixture Low","Time","Time0 - Time96",0,-0.275585067654144,0.216756329027368,419.462098793432,-1.27140494070348,0.708951749761501,"ns","Shannon","0","96",3.5
"15","Mixture Low","Time","Time12 - Time24",0,-0.251890758482938,0.222339390521127,423.14116896092,-1.1329110774863,0.789010941751284,"ns","Shannon","12","24",3.5
"16","Mixture Low","Time","Time12 - Time48",0,-0.0138501856833981,0.227966031155924,427.073668628914,-0.0607554801615372,0.999996903998588,"ns","Shannon","12","48",3.5
"17","Mixture Low","Time","Time12 - Time96",0,-0.0560802976254122,0.222339390521127,423.14116896092,-0.252228350064148,0.999105820300449,"ns","Shannon","12","96",3.5
"18","Mixture Low","Time","Time24 - Time48",0,0.23804057279954,0.222339390521127,423.14116896092,1.07061808634813,0.821553384220842,"ns","Shannon","24","48",3.5
"19","Mixture Low","Time","Time24 - Time96",0,0.195810460857526,0.216756329027368,419.462098793432,0.903366751670734,0.895542984014055,"ns","Shannon","24","96",3.5
"20","Mixture Low","Time","Time48 - Time96",0,-0.0422301119420141,0.222339390521127,423.14116896092,-0.189935358925981,0.999708736499108,"ns","Shannon","48","96",3.5
"21","Mixture High","Time","Time0 - Time12",0,0.23938030350571,0.22796678086388,427.059438170431,1.05006660443499,0.831736885944349,"ns","Shannon","0","12",3.5
"22","Mixture High","Time","Time0 - Time24",0,-0.150186050819386,0.222342629528537,423.172607811894,-0.675471236163058,0.961634281865442,"ns","Shannon","0","24",3.5
"23","Mixture High","Time","Time0 - Time48",0,0.0381396031103651,0.222342629528537,423.172607811881,0.171535270547252,0.999805628014795,"ns","Shannon","0","48",3.5
"24","Mixture High","Time","Time0 - Time96",0,0.549117741826276,0.242032301625158,437.332399940957,2.26877874622169,0.157081698649874,"ns","Shannon","0","96",3.5
"25","Mixture High","Time","Time12 - Time24",0,-0.389566354325096,0.222342629528537,423.172607811894,-1.75209924948331,0.403241168425614,"ns","Shannon","12","24",3.5
"26","Mixture High","Time","Time12 - Time48",0,-0.201240700395345,0.222342629528537,423.172607811894,-0.905092742773003,0.894888981788931,"ns","Shannon","12","48",3.5
"27","Mixture High","Time","Time12 - Time96",0,0.309737438320566,0.242032301625158,437.332399940957,1.27973595359294,0.703855666635232,"ns","Shannon","12","96",3.5
"28","Mixture High","Time","Time24 - Time48",0,0.188325653929751,0.216756329027368,419.462098793432,0.868835778751229,0.908166019605429,"ns","Shannon","24","48",3.5
"29","Mixture High","Time","Time24 - Time96",0,0.699303792645662,0.236442978173949,432.21313161428,2.95760017085892,0.0269556800456299,"*","Shannon","24","96",3.5
"30","Mixture High","Time","Time48 - Time96",0,0.510978138715911,0.236442978173949,432.21313161428,2.16110515381848,0.196627081527442,"ns","Shannon","48","96",3.5
"31","Ampicillin Low","Time","Time0 - Time12",0,-0.831154950883717,0.216756329027368,419.462098793432,-3.8345129510787,0.00136111152001583,"**","Shannon","0","12",3.2
"32","Ampicillin Low","Time","Time0 - Time24",0,-0.817944260145124,0.216756329027368,419.462098793432,-3.77356575383711,0.00171727941675015,"**","Shannon","0","24",3.4
"33","Ampicillin Low","Time","Time0 - Time48",0,-0.593448238562699,0.216756329027368,419.462098793432,-2.73785887233664,0.0502471335198513,"ns","Shannon","0","48",3.5
"34","Ampicillin Low","Time","Time0 - Time96",0,-0.673666513252893,0.216756329027368,419.462098793432,-3.10794391229903,0.0171127960959835,"*","Shannon","0","96",3.6
"35","Ampicillin Low","Time","Time12 - Time24",0,0.0132106907385932,0.216756329027368,419.462098793432,0.0609471972415866,0.999996864505039,"ns","Shannon","12","24",3.5
"36","Ampicillin Low","Time","Time12 - Time48",0,0.237706712321018,0.216756329027368,419.462098793432,1.09665407874206,0.80824968060464,"ns","Shannon","12","48",3.5
"37","Ampicillin Low","Time","Time12 - Time96",0,0.157488437630824,0.216756329027368,419.462098793432,0.726569038779668,0.950280431421388,"ns","Shannon","12","96",3.5
"38","Ampicillin Low","Time","Time24 - Time48",0,0.224496021582425,0.216756329027368,419.462098793432,1.03570688150047,0.83867663784523,"ns","Shannon","24","48",3.5
"39","Ampicillin Low","Time","Time24 - Time96",0,0.144277746892231,0.216756329027368,419.462098793432,0.665621841538081,0.963604561019439,"ns","Shannon","24","96",3.5
"40","Ampicillin Low","Time","Time48 - Time96",0,-0.0802182746901937,0.216756329027368,419.462098793432,-0.370085039962387,0.995995198184074,"ns","Shannon","48","96",3.5
"41","Streptomycin Low","Time","Time0 - Time12",0,-0.739947641411297,0.216756329027369,419.462098793432,-3.41373026906111,0.00629200182535905,"**","Shannon","0","12",3.2
"42","Streptomycin Low","Time","Time0 - Time24",0,-0.669237746980557,0.216756329027369,419.462098793432,-3.08751190788093,0.0182321256514338,"*","Shannon","0","24",3.4
"43","Streptomycin Low","Time","Time0 - Time48",0,-0.63227760376161,0.216756329027369,419.462098793432,-2.91699719495515,0.030398378802907,"*","Shannon","0","48",3.6
"44","Streptomycin Low","Time","Time0 - Time96",0,-0.349870479014468,0.216756329027369,419.462098793419,-1.61411886141646,0.489141334411758,"ns","Shannon","0","96",3.5
"45","Streptomycin Low","Time","Time12 - Time24",0,0.0707098944307397,0.216756329027368,419.462098793432,0.32621836118018,0.9975475519947,"ns","Shannon","12","24",3.5
"46","Streptomycin Low","Time","Time12 - Time48",0,0.107670037649687,0.216756329027368,419.462098793432,0.496733074105959,0.987648052271567,"ns","Shannon","12","48",3.5
"47","Streptomycin Low","Time","Time12 - Time96",0,0.390077162396829,0.216756329027368,419.462098793432,1.79961140764465,0.375131969548407,"ns","Shannon","12","96",3.5
"48","Streptomycin Low","Time","Time24 - Time48",0,0.0369601432189474,0.216756329027368,419.462098793432,0.17051471292578,0.999810173773563,"ns","Shannon","24","48",3.5
"49","Streptomycin Low","Time","Time24 - Time96",0,0.319367267966089,0.216756329027368,419.462098793432,1.47339304646447,0.58038754131526,"ns","Shannon","24","96",3.5
"50","Streptomycin Low","Time","Time48 - Time96",0,0.282407124747142,0.216756329027368,419.462098793432,1.30287833353869,0.689584783952645,"ns","Shannon","48","96",3.5
"51","Ciprofloxacin Low","Time","Time0 - Time12",0,0.214140849373898,0.216756329027368,419.462098793432,0.987933548860114,0.86071636945278,"ns","Shannon","0","12",3.5
"52","Ciprofloxacin Low","Time","Time0 - Time24",0,-0.172954955137695,0.216756329027368,419.462098793432,-0.797923437409099,0.931135208726472,"ns","Shannon","0","24",3.5
"53","Ciprofloxacin Low","Time","Time0 - Time48",0,0.395621138667028,0.216756329027368,419.462098793432,1.8251884059961,0.360373540208188,"ns","Shannon","0","48",3.5
"54","Ciprofloxacin Low","Time","Time0 - Time96",0,-0.0249776164968827,0.216756329027368,419.462098793432,-0.115233620208289,0.999960111070902,"ns","Shannon","0","96",3.5
"55","Ciprofloxacin Low","Time","Time12 - Time24",0,-0.387095804511593,0.216756329027368,419.462098793432,-1.78585698626921,0.383181275141862,"ns","Shannon","12","24",3.5
"56","Ciprofloxacin Low","Time","Time12 - Time48",0,0.18148028929313,0.216756329027368,419.462098793432,0.837254857135986,0.918886055151915,"ns","Shannon","12","48",3.5
"57","Ciprofloxacin Low","Time","Time12 - Time96",0,-0.239118465870781,0.216756329027368,419.462098793432,-1.1031671690684,0.804853600052424,"ns","Shannon","12","96",3.5
"58","Ciprofloxacin Low","Time","Time24 - Time48",0,0.568576093804723,0.216756329027368,419.462098793432,2.6231118434052,0.0680195032505401,"ns","Shannon","24","48",3.5
"59","Ciprofloxacin Low","Time","Time24 - Time96",0,0.147977338640812,0.216756329027368,419.462098793432,0.682689817200809,0.96014476408725,"ns","Shannon","24","96",3.5
"60","Ciprofloxacin Low","Time","Time48 - Time96",0,-0.42059875516391,0.216756329027368,419.462098793432,-1.94042202620439,0.297599184443622,"ns","Shannon","48","96",3.5
"61","Ampicillin High","Time","Time0 - Time12",0,-0.226524837506268,0.216756329027368,419.462098793432,-1.04506677393335,0.834167741944907,"ns","Shannon","0","12",3.5
"62","Ampicillin High","Time","Time0 - Time24",0,-0.356440976666247,0.216756329027368,419.462098793432,-1.64443169094842,0.469836238791818,"ns","Shannon","0","24",3.5
"63","Ampicillin High","Time","Time0 - Time48",0,-0.458363622199758,0.216756329027368,419.462098793432,-2.11464931269381,0.2157082049585,"ns","Shannon","0","48",3.5
"64","Ampicillin High","Time","Time0 - Time96",0,-0.308806502171864,0.216756329027368,419.462098793432,-1.42467121286628,0.612061007112645,"ns","Shannon","0","96",3.5
"65","Ampicillin High","Time","Time12 - Time24",0,-0.129916139159979,0.216756329027368,419.462098793432,-0.599364917015067,0.975138637534021,"ns","Shannon","12","24",3.5
"66","Ampicillin High","Time","Time12 - Time48",0,-0.23183878469349,0.216756329027368,419.462098793432,-1.06958253876046,0.822072069303943,"ns","Shannon","12","48",3.5
"67","Ampicillin High","Time","Time12 - Time96",0,-0.0822816646655962,0.216756329027368,419.462098793432,-0.379604438932933,0.995581696197062,"ns","Shannon","12","96",3.5
"68","Ampicillin High","Time","Time24 - Time48",0,-0.101922645533512,0.216756329027368,419.462098793432,-0.470217621745396,0.989963305368017,"ns","Shannon","24","48",3.5
"69","Ampicillin High","Time","Time24 - Time96",0,0.0476344744943826,0.216756329027368,419.462098793432,0.219760478082134,0.999480977192583,"ns","Shannon","24","96",3.5
"70","Ampicillin High","Time","Time48 - Time96",0,0.149557120027894,0.216756329027368,419.462098793432,0.68997809982753,0.958603880611429,"ns","Shannon","48","96",3.5
"71","Streptomycin High","Time","Time0 - Time12",0,0.14017073861122,0.216756329027368,419.462098793432,0.646674259709951,0.967205648667159,"ns","Shannon","0","12",3.5
"72","Streptomycin High","Time","Time0 - Time24",0,0.031693457500385,0.216756329027368,419.462098793432,0.146216987723497,0.999896991830742,"ns","Shannon","0","24",3.5
"73","Streptomycin High","Time","Time0 - Time48",0,-0.0602455890852942,0.216756329027368,419.462098793432,-0.277941545493177,0.998689896028341,"ns","Shannon","0","48",3.5
"74","Streptomycin High","Time","Time0 - Time96",0,-0.311371013030566,0.216756329027368,419.462098793432,-1.43650252072341,0.604387410949006,"ns","Shannon","0","96",3.5
"75","Streptomycin High","Time","Time12 - Time24",0,-0.108477281110835,0.216756329027368,419.462098793432,-0.500457271986454,0.987295260674853,"ns","Shannon","12","24",3.5
"76","Streptomycin High","Time","Time12 - Time48",0,-0.200416327696514,0.216756329027368,419.462098793432,-0.924615805203128,0.887310132689614,"ns","Shannon","12","48",3.5
"77","Streptomycin High","Time","Time12 - Time96",0,-0.451541751641786,0.216756329027368,419.462098793432,-2.08317678043336,0.229274368202992,"ns","Shannon","12","96",3.5
"78","Streptomycin High","Time","Time24 - Time48",0,-0.0919390465856792,0.216756329027368,419.462098793432,-0.424158533216674,0.993226594260188,"ns","Shannon","24","48",3.5
"79","Streptomycin High","Time","Time24 - Time96",0,-0.343064470530951,0.216756329027368,419.462098793432,-1.5827195084469,0.509322925645739,"ns","Shannon","24","96",3.5
"80","Streptomycin High","Time","Time48 - Time96",0,-0.251125423945272,0.216756329027368,419.462098793432,-1.15856097523023,0.774925945011436,"ns","Shannon","48","96",3.5
"81","Ciprofloxacin High","Time","Time0 - Time12",0,-0.0917470779427281,0.216756329027368,419.462098793432,-0.423272890597551,0.993280645985391,"ns","Shannon","0","12",3.5
"82","Ciprofloxacin High","Time","Time0 - Time24",0,-0.163665975768252,0.216756329027369,419.462098793432,-0.755068959244032,0.943103088383262,"ns","Shannon","0","24",3.5
"83","Ciprofloxacin High","Time","Time0 - Time48",0,0.138058565373062,0.222339390521128,423.14116896092,0.620936151032324,0.971705440828961,"ns","Shannon","0","48",3.5
"84","Ciprofloxacin High","Time","Time0 - Time96",0,-0.0169326275175432,0.222339390521128,423.14116896092,-0.0761566696654866,0.999992363776913,"ns","Shannon","0","96",3.5
"85","Ciprofloxacin High","Time","Time12 - Time24",0,-0.0719188978255241,0.216756329027368,419.462098793432,-0.331796068646483,0.997379968990326,"ns","Shannon","12","24",3.5
"86","Ciprofloxacin High","Time","Time12 - Time48",0,0.22980564331579,0.222339390521127,423.14116896092,1.03358043204654,0.8396938053287,"ns","Shannon","12","48",3.5
"87","Ciprofloxacin High","Time","Time12 - Time96",0,0.0748144504251849,0.222339390521127,423.14116896092,0.336487611348723,0.997232766941839,"ns","Shannon","12","96",3.5
"88","Ciprofloxacin High","Time","Time24 - Time48",0,0.301724541141314,0.222339390521127,423.14116896092,1.35704492323255,0.655519857181666,"ns","Shannon","24","48",3.5
"89","Ciprofloxacin High","Time","Time24 - Time96",0,0.146733348250709,0.222339390521127,423.14116896092,0.659952102534733,0.964709221410125,"ns","Shannon","24","96",3.5
"90","Ciprofloxacin High","Time","Time48 - Time96",0,-0.154991192890605,0.227966031155923,427.073668628914,-0.679887227516783,0.960729129116014,"ns","Shannon","48","96",3.5
"91","Blank","Time","Time0 - Time12",0,-0.0686793585721576,0.14442200478338,437.087991975129,-0.475546359262705,0.989526623103807,"ns","Observed","0","12",3.5
"92","Blank","Time","Time0 - Time24",0,0.0265973782504121,0.14442200478338,437.087991975129,0.184164305780866,0.999742331107683,"ns","Observed","0","24",3.5
"93","Blank","Time","Time0 - Time48",0,-0.132109050402919,0.14442200478338,437.087991975129,-0.914743224905863,0.891186231069787,"ns","Observed","0","48",3.5
"94","Blank","Time","Time0 - Time96",0,-0.0877681162964585,0.146511921165842,441.094739647416,-0.599051023275509,0.975190375585894,"ns","Observed","0","96",3.5
"95","Blank","Time","Time12 - Time24",0,0.0952767368225697,0.149340646498426,420.626279682588,0.637982619310368,0.968775107466679,"ns","Observed","12","24",3.5
"96","Blank","Time","Time12 - Time48",0,-0.0634296918307618,0.149340646498426,420.626279682588,-0.424731600659237,0.993191528595837,"ns","Observed","12","48",3.5
"97","Blank","Time","Time12 - Time96",0,-0.0190887577243009,0.151362664731509,424.692093226808,-0.126112722434962,0.999942850880796,"ns","Observed","12","96",3.5
"98","Blank","Time","Time24 - Time48",0,-0.158706428653332,0.149340646498426,420.626279682588,-1.0627142199696,0.825502335346496,"ns","Observed","24","48",3.5
"99","Blank","Time","Time24 - Time96",0,-0.114365494546871,0.151362664731509,424.692093226808,-0.755572682006724,0.942972419140342,"ns","Observed","24","96",3.5
"100","Blank","Time","Time48 - Time96",0,0.0443409341064609,0.151362664731509,424.692093226808,0.292944988680756,0.998389831717521,"ns","Observed","48","96",3.5
"101","Mixture Low","Time","Time0 - Time12",0,0.41334918128838,0.197269799051439,427.589541511566,2.0953495328527,0.223924392132842,"ns","Observed","0","12",3.5
"102","Mixture Low","Time","Time0 - Time24",0,0.156152035190201,0.192797945600085,420.626279682588,0.809925825216536,0.927526885098331,"ns","Observed","0","24",3.5
"103","Mixture Low","Time","Time0 - Time48",0,0.392240162096021,0.197269799051439,427.589541511566,1.98834369975579,0.273409366977158,"ns","Observed","0","48",3.5
"104","Mixture Low","Time","Time0 - Time96",0,0.212513092035013,0.192797945600085,420.626279682601,1.1022580732049,0.805329552813023,"ns","Observed","0","96",3.5
"105","Mixture Low","Time","Time12 - Time24",0,-0.257197146098178,0.19726979905144,427.589541511566,-1.30378368779659,0.689019801642248,"ns","Observed","12","24",3.5
"106","Mixture Low","Time","Time12 - Time48",0,-0.0211090191923586,0.20174684266041,434.750375793347,-0.104631224528705,0.999972861517744,"ns","Observed","12","48",3.5
"107","Mixture Low","Time","Time12 - Time96",0,-0.200836089253366,0.19726979905144,427.589541511566,-1.01807823711017,0.847004200579618,"ns","Observed","12","96",3.5
"108","Mixture Low","Time","Time24 - Time48",0,0.23608812690582,0.19726979905144,427.589541511566,1.19677785469969,0.75326969868898,"ns","Observed","24","48",3.5
"109","Mixture Low","Time","Time24 - Time96",0,0.0563610568448119,0.192797945600085,420.626279682588,0.292332247988368,0.998402926535139,"ns","Observed","24","96",3.5
"110","Mixture Low","Time","Time48 - Time96",0,-0.179727070061008,0.19726979905144,427.589541511566,-0.91107240401326,0.892601595015667,"ns","Observed","48","96",3.5
"111","Mixture High","Time","Time0 - Time12",0,0.462088432850859,0.201754144219053,434.659280507355,2.2903541071709,0.149927630380305,"ns","Observed","0","12",3.5
"112","Mixture High","Time","Time0 - Time24",0,0.211160236625502,0.19727195973524,427.55749133837,1.07040167750602,0.821663485038154,"ns","Observed","0","24",3.5
"113","Mixture High","Time","Time0 - Time48",0,0.316037787098619,0.19727195973524,427.55749133837,1.60204109860709,0.496867835334779,"ns","Observed","0","48",3.5
"114","Mixture High","Time","Time0 - Time96",0,0.773997552906356,0.212546069255026,453.05025752907,3.64155194974537,0.00278415362622919,"**","Observed","0","96",50
"115","Mixture High","Time","Time12 - Time24",0,-0.250928196225357,0.19727195973524,427.557491338357,-1.27199119713785,0.708592553066872,"ns","Observed","12","24",3.5
"116","Mixture High","Time","Time12 - Time48",0,-0.14605064575224,0.19727195973524,427.557491338357,-0.740351776036772,0.946889019028348,"ns","Observed","12","48",3.5
"117","Mixture High","Time","Time12 - Time96",0,0.311909120055498,0.212546069255026,453.05025752907,1.46748947721658,0.58419562397914,"ns","Observed","12","96",3.5
"118","Mixture High","Time","Time24 - Time48",0,0.104877550473117,0.192797945600085,420.626279682588,0.543976493871267,0.982633650153934,"ns","Observed","24","48",3.5
"119","Mixture High","Time","Time24 - Time96",0,0.562837316280855,0.208380304351021,444.379394647713,2.70101014601046,0.0553760616660467,"ns","Observed","24","96",3.5
"120","Mixture High","Time","Time48 - Time96",0,0.457959765807737,0.208380304351021,444.379394647713,2.19771137792512,0.18242463860451,"ns","Observed","48","96",3.5
"121","Ampicillin Low","Time","Time0 - Time12",0,-0.434605370027677,0.192797945600084,420.626279682601,-2.25420125030361,0.162143806770079,"ns","Observed","0","12",3.5
